Ee [W/sqm] (280-315nm),0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
Ee [W/sqm] (315-400nm),0.00E+00,0.00E+00,2.67E-06,8.72E-05,6.68E-05,8.21E-04,0.00E+00,0.00E+00,1.33E-08,2.40E-06,2.66E-04,5.10E-05
R5,0,9.3,0,0,0,0,76.8,47.9,21,17.9,17.6,18.6
R6,0,-33.2,0,0,0,0,97.3,79.4,53.2,49.9,48.8,48.7
R7,0,-139.9,0,0,0,0,67.2,56.1,53.5,53.4,53.9,54.8
R8,0,-200.2,0,0,0,0,55.1,7.7,-9.5,-11.2,-10.6,-9.2
R9,0,-256.2,0,0,0,0,6.5,-75.8,-109.3,-113,-112.5,-110.5
R10,0,-149.9,0,0,0,0,88.8,69.1,40.9,37.5,36.3,35.9
R11,0,-107.4,0,0,0,0,58.1,17.2,-19.4,-23.3,-23.7,-21.8
R12,0,-111.6,0,0,0,0,65.8,65,11.7,4,1.6,1.1
R13,0,52.3,0,0,0,0,86.4,54.2,32.8,30.3,30.1,31
R14,0,-43.4,0,0,0,0,88,83.8,85.9,86.3,86.9,87.8
Ra,0,-77.33,0,0,0,0,75.81,53.48,37.7,35.96,36.01,36.93
Re,0,-88.2,0,0,0,0,71.43,45.8,24.59,22.11,21.91,22.79
DC,0.00E+00,3.20E-01,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.80E-02,1.30E-03,4.40E-03,5.10E-03,5.40E-03,5.60E-03
,,,,,,,,,,,,
Color Quality Scale (CQS) 9.0.3,,,,,,,,,,,,
VS1,0,0,0,0,0,0,75.4,50.7,5.4,0.4,0.2,0.3
VS2,0,0,0,0,0,0,92.1,59.7,8.4,0.2,0.1,0.1
VS3,0,0,0,0,0,0,93.3,67.8,2.7,0,0,0
VS4,0,0,0,0,0,0,76.2,88,19.5,0.4,0.1,0.2
VS5,0,0,0,0,0,0,73.9,86.6,41.3,6.8,3.1,3.6
VS6,0,0,0,0,0,0,67.6,71,65.9,51.6,46.8,47.5
VS7,0,0,0,0,0,0,62.2,52.7,40.5,38.4,38.2,39
VS8,0,0,0,0,0,0,58.4,47.7,39.8,24.7,19.5,20.4
VS9,0,16.8,0,0,0,0,69.2,50.6,43.9,21.7,14,15.1
VS10,0,0,0,0,0,0,85,56.3,46.5,20.2,10.9,12.3
VS11,0,0,0,0,0,0,94.7,69.2,56.3,29.9,19.5,21.6
VS12,0,0,0,0,0,0,74.7,96.7,79.1,52.2,43.6,46.1
VS13,0,0,0,0,0,0,58.9,66.8,63.8,63.8,63.8,64.2
VS14,0,0,0,0,0,0,76.6,68,59.9,55.9,55.1,55.9
VS15,0,0,0,0,0,0,77.9,60.9,38.1,24.9,22.4,23.9
Qa,0,0,0,0,0,0,73.23,63.29,33.86,10.15,6.09,6.99
Qf,0,0,0,0,0,0,74.49,64.3,37.28,13.61,8.91,10
Qp,0,0,0,0,0,0,69.6,63.12,22.57,2.76,1.24,1.53
Qg,0,579.09,0,0,0,0,77.98,74.29,41.3,25.56,21.91,23.16
,,,,,,,,,,,,
TLCI - 2012,,,,,,,,,,,,
Q1 (Dark skin),0,14.7,0,0,0,0,78.7,25.4,18.3,23.2,24.2,25.1
Q2 (Light skin),0,6,0,0,0,0,61.4,61.5,48.5,48.5,49.5,50.3
Q3 (Blue sky),0,10.6,0,0,0,0,96.6,52.1,30.5,34.9,36.8,37.6
Q4 (Foliage),0,33.9,0,0,0,0,97.9,95.6,77.3,32.4,22.2,22.9
Q5 (Blue flower),0,6.3,0,0,0,0,70.9,37.1,29.4,28.5,25.2,26.2
Q6 (Bluish green),0,4.2,0,0,0,0,30,16.8,14.9,25.7,26.8,27.8
Q7 (Orange),0,3.4,0,0,0,0,93.7,11.8,6.9,8.7,8.2,8.7
Q8 (Purplish blue),0,4.1,0,0,0,0,99.1,86.8,61.8,51.8,40.5,42.2
Q9 (Moderate red),0,4.9,0,0,0,0,85.8,53.9,44.3,42.2,40.8,41.5
Q10 (Purple),0,4.7,0,0,0,0,34.5,21.1,15.5,15.2,15.6,15.9
Q11 (Yellow green),0,4.7,0,0,0,0,95,80.3,92.3,30.9,16.6,17.2
Q12 (Orange yellow),0,4,0,0,0,0,95.5,18.8,9.5,8.5,7.1,7.4
Q13 (Blue),0,3.2,0,0,0,0,99.9,90.2,74,67,51.4,53.3
Q14 (Green),0,7.4,0,0,0,0,88,68.6,53.5,30.3,21.6,22.9
Q15 (Red),0,2.2,0,0,0,0,51.9,16.3,11.8,11.1,11,11.2
Q16 (Yellow),0,4.6,0,0,0,0,98.3,51.6,34,17,10.7,11.1
